title,year,medium,size,status,price,filename
The Living Circuit,2026,Acrylic on canvas,24 × 36 in,Available,,Gulhane_LivingCircuit_2026.jpg
Mindstream,2026,Acrylic on canvas,24 × 36 in,Available,,Gulhane_Mindstream_2026.jpg
The Pattern Oracle,2026,Acrylic on canvas,24 × 36 in,Available,,Gulhane_PatternOracle_2026.jpg
Spectrum of Awareness,2026,"Acrylic on canvas, triptych","12 × 36 in × 3 panels",Available,,Gulhane_SpectrumOfAwareness_2026.jpg
Dual Hemisphere,2026,Acrylic on canvas,18 × 24 in,Available,,Gulhane_DualHemisphere_2026.jpg
Between Worlds,2026,Acrylic on canvas,18 × 24 in,Available,,Gulhane_BetweenWorlds_2026.jpg
Cosmos & Collective,2026,Acrylic on canvas,18 × 24 in,Available,,Gulhane_CosmosCollective_2026.jpg
Neural Blueprint,2026,Acrylic on canvas,18 × 24 in,Available,,Gulhane_NeuralBlueprint_2026.jpg
Consciousness Hub,2026,Acrylic on canvas,18 × 24 in,Available,,Gulhane_ConsciousnessHub_2026.jpg
Mind Garden,2026,Acrylic on canvas,18 × 24 in,Available,,Gulhane_MindGarden_2026.jpg
